Timestamp,Channel 2,Channel 4
61562.45982,-1.218049678,11.42247404
61562.46768,-1.793996428,11.94950207
61562.4677,-2.207467673,11.60335459
61562.4677,-2.443670991,10.3950273
61562.47871,-2.502243031,8.401229271
61562.47874,-2.396242715,5.759143494
61562.48592,-2.150095766,2.656448595
61562.48595,-1.796717088,-0.682640542
61562.496,-1.374099727,-4.014237796
61562.49603,-0.921694273,-7.093248288
61562.5067,-0.476908063,-9.691991269
61562.50673,-0.072029642,-11.61753179
61562.50673,0.268166543,-12.72637037
61562.50995,0.527952207,-12.93534817
61562.50998,0.701217466,-12.22792361
61562.51191,0.791079449,-10.6553418
61562.52172,0.808613981,-8.332619975
61562.52421,0.770877002,-5.429678884
61562.53104,0.698444616,-2.158329298
61562.53107,0.612739761,1.243856823
61562.53792,0.533426099,4.531523223
61562.54593,0.476135182,7.46995172
61562.54594,0.450752947,9.852503942
61562.55104,0.460430279,11.51574593
61562.5511,0.50140587,12.35111355
61562.55604,0.563645395,12.31225951
61562.55851,0.632217239,11.41757049
61562.5622,0.689249843,9.747726859
61562.59491,0.716256301,7.438567011
61562.59495,0.696573933,4.669881375
61562.59773,0.617653837,1.651070383
61562.59777,0.472949102,-1.395169378
61562.59995,0.263189286,-4.249831938
61562.59999,-0.003110778,-6.713933393
61562.60184,-0.309983438,-8.622936147
61562.60431,-0.635172633,-9.85818847
61562.60716,-0.9520357,-10.35455859
61562.61177,-1.232010631,-10.10375977
61562.61468,-1.447415123,-9.153213677
61562.61471,-1.574303787,-7.600655341
61562.61665,-1.595096042,-5.585015033
61562.62044,-1.500701307,-3.274394218
61562.62612,-1.29190927,-0.852162735
61562.62615,-0.979877934,1.497673184
61562.63539,-0.585635055,3.604655353
61562.63979,-0.138601988,5.324502219
61562.63982,0.325755875,6.549229321
61562.64605,0.768959938,7.214038421
61562.64607,1.152966161,7.300533548
61562.64803,1.443716244,6.836131972
61562.66471,1.614457818,5.88984995
61562.66747,1.648509342,4.564931367
61562.6675,1.541186507,2.989029085
61562.66977,1.300676073,1.302825048
61562.67425,0.947734485,-0.351926703
61562.67672,0.514194594,-1.843936021
61562.68592,0.040374762,-3.06256266
61562.68594,-0.428409481,-3.925867322
61562.6885,-0.845940319,-4.385947436
61562.68853,-1.169441175,-4.431223886
61562.6984,-1.363774813,-4.085611082
61562.70233,-1.405100621,-3.404765709
61562.70235,-1.283630461,-2.469846863
61562.71173,-1.005191298,-1.379412939
61562.71665,-0.591400576,-0.240213523
61562.71667,-0.078379035,0.842301574
61562.71667,0.485944459,1.772942334
61562.71928,1.045751884,2.474471068
61562.73091,1.542176721,2.893428197
61562.7374,1.918668925,3.003675291
61562.73743,2.126423397,2.80745122
61562.74492,2.129386148,2.333958336
61562.74497,1.908369449,1.635706331
61562.74787,1.46386621,0.783023948
61562.74791,0.817251076,-0.142711797
61562.7604,0.010184063,-1.056493123
61562.76351,-0.897818185,-1.877082779
61562.76355,-1.833520304,-2.533767754
61562.76795,-2.715538603,-2.971919213
61562.77149,-3.460931678,-3.156941465
61562.77151,-3.992293574,-3.076352216
61562.77916,-4.244766577,-2.739910746
61562.78359,-4.172372505,-2.177883753
61562.78364,-3.753093435,-1.437695018
61562.79352,-2.992214014,-0.579331544
61562.80109,-1.923562889,0.330034449
61562.80113,-0.608451177,1.22170719
61562.80689,0.867710854,2.03091796
61562.81958,2.400946101,2.701619603
61562.81961,3.876034957,3.190266429
61562.81961,5.175113244,3.468334463
61562.82187,6.186900911,3.52346522
61562.82667,6.815842534,3.359246474
61562.83289,6.990420691,2.9937634
61562.83534,6.66994283,2.45715246
61562.83848,5.849199859,1.788460164
61562.84228,4.560544132,1.032144764
61562.8423,2.87312519,0.234559608
61562.84602,0.88923913,-0.559275426
61562.84606,-1.262024898,-1.308367788
61562.86049,-3.433438059,-1.977744379
61562.86344,-5.469988489,-2.539664775
61562.86346,-7.220193344,-2.974068585
61562.87356,-8.547522403,-3.268350874
61562.87358,-9.341057844,-3.416622989
61562.87985,-9.524551479,-3.41865607
61562.87987,-9.06314428,-3.278717704
61562.88613,-7.967176348,-3.004498385
61562.88616,-6.292726976,-2.606286419
61562.89599,-4.138768057,-2.096492934
61562.89604,-1.641071336,-1.489560191
61562.89858,1.036739365,-0.802214782
61562.89861,3.714375332,-0.05396163
61562.90535,6.207513639,0.732337145
61562.92392,8.340953839,1.529985542
61562.92395,9.96133044,2.308272428
61562.92604,10.94843187,3.032758521
61562.92606,11.22427028,3.666158726
61562.92847,10.7592063,4.169880243
61562.93067,9.574646753,4.506195844
61562.93806,7.742085869,4.640945109
61562.94244,5.378531286,4.546573624
61562.94247,2.638626055,4.20525093
61562.95232,-0.295975301,3.611760836
61562.95235,-3.22921282,2.77583933
61562.97802,-5.964296856,1.723649523
61562.97806,-8.317461217,0.498130873
61562.97807,-10.13079598,-0.841961366
61562.98041,-11.28323181,-2.224406513
61562.98346,-11.69888639,-3.567217864
61562.98349,-11.35218085,-4.783523254
61562.98559,-10.26937464,-5.787337106
61562.98791,-8.526432008,-6.499829675
61562.99472,-6.243403,-6.855622342
61562.99789,-3.575754627,-6.80859756
61563.00479,-0.703306256,-6.336714089
61563.00482,2.182410249,-5.44536471
61563.00719,4.891441411,-4.168902986
61563.00722,7.248396439,-2.570092247
61563.00919,9.104205353,-0.737384686
61563.02235,10.3458367,1.219890613
61563.02238,10.90332408,3.17817871
61563.02476,10.75365888,5.007775869
61563.0267,9.921342324,6.581784979
61563.03693,8.47563617,7.785305628
61563.05598,6.524787467,8.524167282
61563.05605,4.207713626,8.732520016
61563.05605,1.683802624,8.378658577
61563.05788,-0.878400596,7.468568953
61563.06042,-3.312794195,6.046844667
61563.06294,-5.466784577,4.194811119
61563.06552,-7.2110607,2.025906111
61563.06812,-8.447439985,-0.321423243
61563.07096,-9.114308687,-2.692849487
61563.07328,-9.189368649,-4.928695149
61563.07672,-8.689605054,-6.875117602
61563.08359,-7.668590466,-8.395134506
61563.08362,-6.211424509,-9.378670159
61563.09354,-4.42776298,-9.7508604
61563.09357,-2.443505006,-9.477970501
61563.10394,-0.391775259,-8.570448612
61563.10397,1.596142681,-7.082844336
61563.10597,3.399295068,-5.110552426
61563.10599,4.914415402,-2.783577811
61563.11852,6.061706606,-0.25774209
61563.11855,6.788739889,2.296053965
61563.12102,7.072312699,4.703747675
61563.12105,6.918261288,6.800353852
61563.12685,6.359367609,8.441639052
61563.13726,5.451625204,9.514379946
61563.13729,4.269226434,9.944455215
61563.1397,2.898698146,9.702176657
61563.13972,1.432642156,8.804465967
61563.15673,-0.036469084,7.313713767
61563.16412,-1.422029513,5.333399784
61563.16415,-2.648222295,3.000789516
61563.16416,-3.653866875,0.477235523
61563.16725,-4.39502588,-2.063214902
61563.16729,-4.846308343,-4.446082478
61563.16914,-5.000902159,-6.508705288
61563.17286,-4.869453724,-8.111595442
61563.18371,-4.477980855,-9.148092704
61563.18374,-3.865052768,-9.551632703
61563.19039,-3.078496185,-9.300124393
61563.19359,-2.171890058,-8.417144161
61563.19362,-1.201094669,-6.96988642
61563.19538,-0.221027761,-5.064045294
61563.23287,0.717144886,-2.836021834
61563.23291,1.568288984,-0.443040092
61563.24282,2.294989729,1.948100252
61563.24285,2.868637182,4.172817211
61563.24649,3.269941471,6.080238872
61563.24652,3.488943617,7.54358038
61563.24652,3.524609441,8.468682003
61563.25407,3.384103573,8.800126711
61563.25411,3.08183902,8.524537581
61563.25411,2.638387043,7.6708632
61563.25925,2.079315013,6.307677644
61563.26183,1.433999666,4.537734542
61563.26685,0.734442984,2.490206767
61563.26928,0.014100694,0.311201064
61563.27171,-0.693278671,-1.84675058
61563.27431,-1.354811596,-3.835460844
61563.27664,-1.939640046,-5.521351929
61563.27915,-2.420091963,-6.794499453
61563.28225,-2.772825632,-7.575840104
61563.28228,-2.979925038,-7.82207014
61563.28453,-3.029896154,-7.52793496
61563.29116,-2.918499217,-6.725800867
61563.29119,-2.649342236,-5.482594695
61563.2974,-2.234158451,-3.894381394
61563.29745,-1.692696729,-2.079011011
61563.30695,-1.052169713,-0.167393777
61563.31366,-0.34622936,1.705952879
61563.31369,0.386527957,3.412403898
61563.31569,1.104486852,4.838102375
61563.31926,1.765289092,5.891599493
61563.32984,2.328342655,6.509746625
61563.32987,2.757413193,6.661461737
61563.33595,3.023124082,6.349150084
61563.33598,3.10518013,5.607729205
61563.33865,2.99413342,4.501378242
61563.33868,2.692528636,3.118289662
61563.34666,2.215299226,1.563836857
61563.35992,1.589333188,-0.047325311
61563.35995,0.852185088,-1.599644645
61563.36187,0.049974831,-2.984934927
61563.36432,-0.765421149,-4.109932847
61563.37238,-1.53971977,-4.90262374
61563.3724,-2.219904413,-5.316908033
61563.37862,-2.757966592,-5.335305622
61563.37867,-3.114442816,-4.969540095
61563.38188,-3.26147542,-4.25899846
61563.39345,-3.185149781,-3.267213952
61563.39349,-2.886904628,-2.076658882
61563.40109,-2.383874356,-0.782251815
61563.40113,-1.708098045,0.515929495
61563.41891,-0.904613812,1.720186853
61563.41894,-0.028542681,2.742437652
61563.42587,0.85865325,3.510621788
61563.4259,1.693484529,3.973818561
61563.4259,2.415014531,4.105710883
61563.42864,2.969371031,3.906157777
61563.42867,3.313849466,3.400776462
61563.43094,3.420289676,2.638582084
61563.43312,3.277454423,1.687875952
61563.4486,2.89220661,0.630701643
61563.44867,2.28936806,-0.443706701
61563.45593,1.510239585,-1.4459857
61563.45994,0.609862816,-2.293678188
